"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.633161493E1,-8.482556343E0,1.435693540E-2,-1.750349760E0
4.634161493E1,-8.461619377E0,-1.525424421E-1,-1.658226132E0
4.635161493E1,-8.289934158E0,-5.000999570E-1,-1.532602906E0
4.636161493E1,-8.331808090E0,-6.634100676E-1,-1.545763373E0
4.637161493E1,-8.334200859E0,-8.883354068E-1,-1.524826288E0
4.638161493E1,-8.364111900E0,-1.256830096E0,-1.550549030E0
4.639161493E1,-8.376673698E0,-1.472782373E0,-1.601396561E0
4.640161493E1,-8.434102058E0,-1.497308731E0,-1.686341763E0
4.641161493E1,-8.563912392E0,-1.421934843E0,-1.705484390E0
4.642161493E1,-8.708678246E0,-1.246660590E0,-1.667797327E0
4.643161493E1,-8.897112846E0,-1.056431174E0,-1.629512191E0
4.644161493E1,-9.122636795E0,-9.200403094E-1,-1.615155339E0
4.645161493E1,-9.296115875E0,-8.548358679E-1,-1.657627940E0
4.646161493E1,-9.443872452E0,-8.656035662E-1,-1.656431437E0
4.647161493E1,-9.516854286E0,-7.663014531E-1,-1.700100541E0
4.648161493E1,-9.586843491E0,-5.617151260E-1,-1.877767563E0
4.649161493E1,-9.574879646E0,-4.133601189E-1,-2.073979139E0
4.650161493E1,-9.489934921E0,-3.655036688E-1,-2.251646042E0
4.651161493E1,-9.413962364E0,-3.984049559E-1,-2.337787628E0
4.652161493E1,-9.277571678E0,-3.116651475E-1,-2.568096876E0
4.653161493E1,-9.134002686E0,-3.918247223E-1,-2.682952404E0
4.654161493E1,-9.067003250E0,-4.486542344E-1,-2.754138947E0
4.655161493E1,-9.080163956E0,-5.826523304E-1,-2.781656265E0
4.656161493E1,-9.165707588E0,-6.891329288E-1,-2.875574589E0
4.657161493E1,-9.285946846E0,-6.376872063E-1,-2.937189817E0
4.658161493E1,-9.372088432E0,-5.766702294E-1,-2.913859844E0
4.659161493E1,-9.444471359E0,-5.006981492E-1,-2.889931440E0
4.660161493E1,-9.419944763E0,-5.670989752E-1,-2.818146944E0
4.661161493E1,-9.340981483E0,-7.621139884E-1,-2.721835852E0
